accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-2.604330458549351630e-06,7.847244448973575513e-04,9.793591448138752042e+00
-2.433084310621115804e-06,7.816077392611240227e-04,9.793589124544041624e+00
-1.795066361349081151e-06,7.834420936121436153e-04,9.793590400624989201e+00
1.895531032326000342e-06,7.837966483546672785e-04,9.793596202241650062e+00
3.801215484111336946e-06,7.839420930938579635e-04,9.793589476018487616e+00
-6.744529566768937639e-07,7.809076513940545368e-04,9.793592935130284616e+00
7.617698147922156387e-06,7.900027739321500726e-04,9.793587401782373192e+00
-3.578821358033500276e-06,7.881097783714513310e-04,9.793596780556772075e+00
4.872860991114393515e-06,7.715216587883319934e-04,9.793587037013326224e+00
3.876114630445014128e-06,7.817939012670452889e-04,9.793590441117185463e+00
1.789240911794827576e-06,7.896767971842850618e-04,9.793589917506714926e+00
1.172342143408516736e-05,7.868907931816585336e-04,9.793593576710479809e+00
-1.119609918839696396e-06,7.867802704164909020e-04,9.793587053084307215e+00
3.004923376677545368e-06,7.773754564773830908e-04,9.793591134006991439e+00
3.153109857050831301e-06,7.808144253008644136e-04,9.793581693979163560e+00
7.594605554799395095e-07,7.843382208770590313e-04,9.793592175215604101e+00
-5.267359091499859371e-08,7.792384910314208418e-04,9.793591391839212790e+00
5.567668804687602700e-06,7.813657288394254552e-04,9.793586176702369528e+00
5.213909377938380146e-06,7.801826467709467279e-04,9.793588429988554722e+00
1.862776046792941117e-06,7.872311382545498426e-04,9.793581138596319846e+00
6.588624406772527639e-06,7.794344517587668613e-04,9.793589568085247166e+00
-2.819604318061880272e-06,7.859104837650802023e-04,9.793594597902371746e+00
-7.420979196181692059e-06,7.787337383307549191e-04,9.793592028290746043e+00
8.084531753665242463e-06,7.852504685568143655e-04,9.793588950571882279e+00
-8.569978571130537715e-07,7.782509837259184030e-04,9.793601461522207785e+00
-9.272413656838807549e-07,7.737247926696166249e-04,9.793584747762734466e+00
4.906878773372533089e-06,7.875427087244759325e-04,9.793592856494298005e+00
-2.525670323600978178e-06,7.820811802829038487e-04,9.793581980748092164e+00
4.993384372191109242e-07,7.844101924321347135e-04,9.793585588185347746e+00
-7.974593778948067819e-07,7.819554416553836824e-04,9.793591429915016633e+00
2.686154049755307192e-06,7.859287442556471028e-04,9.793594277376236334e+00
3.719702131039789310e-06,7.927788913323410023e-04,9.793586598944827415e+00
-3.233290417643260001e-06,7.863304566143243827e-04,9.793592709166492938e+00
3.364609695335644914e-06,7.879599957446498971e-04,9.793588268037284550e+00
2.398059534858502116e-06,7.811595438353631559e-04,9.793590378526909390e+00
-1.550173923560525912e-06,7.879610970437491216e-04,9.793593777576994341e+00
1.606025993767047956e-06,7.786182049334676751e-04,9.793592574127874428e+00
1.463650559878694162e-06,7.838174772527917774e-04,9.793592126231601469e+00
1.016493589249960708e-07,7.786970897506645438e-04,9.793584134719843348e+00
-4.622971028025864125e-06,7.818218544034254321e-04,9.793587281761210406e+00
8.055049607035956991e-07,7.796774782270010726e-04,9.793593703378792981e+00
2.153176630041052424e-06,7.941122048361807075e-04,9.793587122429258329e+00
-6.477952797093553349e-06,7.867904368064391031e-04,9.793597216457408550e+00
-6.009893621897352730e-07,7.856992393542303922e-04,9.793585879010249684e+00
4.841571588635384195e-06,7.814153007198401278e-04,9.793590470903339451e+00
-4.750186746318815421e-06,7.860377494076079734e-04,9.793584970702058357e+00
-5.548261973429058514e-06,7.850143381029459251e-04,9.793595050649878786e+00
-7.114200993750580571e-06,7.824348486502624061e-04,9.793589730759819645e+00
-2.441500294093107396e-06,7.827129350469946628e-04,9.793585680879488109e+00
-5.805592250548189980e-06,7.809667500859473642e-04,9.793590011183338717e+00
2.726053159257371867e-07,7.782430707881029955e-04,9.793582091684493562e+00
9.524948799222976923e-07,7.814551802403170476e-04,9.793592641117141895e+00
-5.236355762658325651e-06,7.866093676028854858e-04,9.793583297112723685e+00
2.305424997328370032e-06,7.803195528464194897e-04,9.793589763531739933e+00
1.439183123802138507e-06,7.793058996915885840e-04,9.793591604275135865e+00
5.043671335158039808e-06,7.734621236085585444e-04,9.793591342523090049e+00
4.501918393681038374e-06,7.781599171067535509e-04,9.793593047866094636e+00
1.119079583389978372e-06,7.837970035913557594e-04,9.793595359861532401e+00
2.213071062908634574e-06,7.693517591865063447e-04,9.793593548879632849e+00
-7.345986223244086256e-06,7.963043183336414137e-04,9.793588842700959418e+00
2.722636935113730934e-06,7.803940076463780065e-04,9.793588684896192831e+00
6.160575560540358958e-06,7.814494014524871711e-04,9.793586535519368752e+00
-3.962506098450251015e-06,7.889522680933431977e-04,9.793591984543917661e+00
2.483218660708161611e-06,7.820708661792334258e-04,9.793585513995365588e+00
-3.111815256065870653e-07,7.751467141645122447e-04,9.793592977428852819e+00
5.532809357866033326e-06,7.782225627962917379e-04,9.793594680823568766e+00
-1.524942388483513963e-06,7.854758629948021360e-04,9.793588123680290636e+00
9.250517293337881164e-06,7.755809638227625924e-04,9.793589948456011385e+00
-5.600600698075546016e-06,7.830317374688700472e-04,9.793594850862154644e+00
-3.914804920645967061e-06,7.802691961968429447e-04,9.793595405210432148e+00
3.936572601359731250e-06,7.840046209259769056e-04,9.793588163615309483e+00
6.164228035592933592e-06,7.873224181040035892e-04,9.793585696583964051e+00
-6.713582950561995946e-06,7.856641159685713799e-04,9.793591843008840669e+00
1.123509665051025194e-06,7.782301047232980480e-04,9.793584071630109023e+00
6.082152619474790073e-06,7.900078948343386941e-04,9.793589935242653866e+00
6.653481005399967619e-06,7.865615093905020758e-04,9.793590926308480604e+00
1.016404823669974627e-06,7.839004914330981264e-04,9.793588512506524069e+00
5.118618342424775422e-06,7.845918183408535874e-04,9.793586993345881453e+00
-1.173952587069438452e-07,7.826022119443942987e-04,9.793591889433901798e+00
-5.776224714916196930e-06,7.772834536403775731e-04,9.793591954442669945e+00
-1.254242435424661323e-06,7.750972861464299922e-04,9.793588080479745273e+00
-2.508322644463188704e-06,7.847748866064420360e-04,9.793588753220157983e+00
9.164794020266938009e-06,7.807835390464199768e-04,9.793592823019672267e+00
6.692990371786272762e-06,7.872284278148477350e-04,9.793588298485660815e+00
1.322263141793628627e-06,7.900055381078319302e-04,9.793595530151693040e+00
1.386527652416635940e-06,7.867484914673241771e-04,9.793585479103473546e+00
-2.184510343198474158e-06,7.787276388623336947e-04,9.793590417872747977e+00
-9.885831419133959968e-06,7.857914593733790563e-04,9.793594162863264785e+00
-3.086095202498001314e-06,7.803329580379932389e-04,9.793594830877827562e+00
-4.761003567322266124e-06,7.821296047854354961e-04,9.793592888363937377e+00
-1.040013557923208042e-06,7.786735842301379176e-04,9.793586248285850004e+00
1.186482542465381732e-05,7.776721442361249738e-04,9.793590235336651517e+00
7.646925386635892173e-07,7.788578682628799835e-04,9.793591595329486310e+00
-3.833042224199744177e-06,7.759045001658098142e-04,9.793595772391848087e+00
-5.331603829864664080e-06,7.887046934170082639e-04,9.793594524138864443e+00
5.157387897862398961e-07,7.845568363968301057e-04,9.793586610985945740e+00
3.890143208146555509e-07,7.798021059839497105e-04,9.793585827655553189e+00
-7.692227831039775469e-06,7.853061699802098587e-04,9.793597978843461505e+00
-1.696145536523065037e-06,7.796051408206271325e-04,9.793588542447297485e+00
-4.095735133960118503e-06,7.789264184283857875e-04,9.793589269240859707e+00
