gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-4.053417070567804010e-04,3.436878435963805836e-03,2.103153178570344676e-03
-1.755430055124755227e-04,4.004459797994948042e-03,2.265745671606896831e-03
-4.167226130695555293e-04,3.323092266641987716e-03,2.549463050884320705e-03
-1.140256250522674112e-04,3.611799985092464371e-03,1.470773416731838146e-03
3.195491492114308895e-04,3.911680672251857324e-03,2.322560452468795059e-03
-3.754326755823677512e-04,3.452068037761695223e-03,2.028569022024962615e-03
-3.606780516638310552e-04,3.688356501933234832e-03,2.050355434267596942e-03
6.499316337175134375e-04,3.534630456463458588e-03,2.081361833404044882e-03
-9.989679338274724265e-05,3.216777248164792626e-03,1.503373975106890971e-03
1.118674297005694496e-05,3.567631512078894406e-03,2.178510138675666258e-03
1.678068602178939858e-04,3.558738988333779493e-03,2.065733277898352052e-03
4.235427628245595462e-04,3.631800053868866531e-03,2.140655345696564679e-03
-2.842371389681277592e-04,3.565638294322155070e-03,2.444365742614593509e-03
4.461707877436787918e-04,3.629880252582090485e-03,2.374890124384451684e-03
-1.188488890075664264e-04,3.140758624661208181e-03,2.616573368746485245e-03
4.557351672731765110e-04,3.522671698261946316e-03,2.631537794041947410e-03
1.557379382042573966e-04,3.458204260367979659e-03,2.182767482934082435e-03
-1.241255509302331713e-05,3.134379606321399843e-03,1.944339342272477077e-03
4.490387956625178792e-04,3.020606408453744250e-03,2.051583916581197712e-03
-1.603710571320132112e-05,3.966665288476771412e-03,1.780700019870339393e-03
2.587009331046665589e-04,3.397089097102075350e-03,2.317748453318096286e-03
5.681460505778046987e-04,3.543407702807712355e-03,2.615636384513037472e-03
-3.948335838169779758e-04,3.538431122417049889e-03,2.171152423167009224e-03
-1.655408983421570283e-04,3.565742118757661040e-03,1.965932418985227251e-03
-8.848572565884619461e-05,3.351029038285717639e-03,2.769982085161631913e-03
3.111911436241722570e-05,2.940143514299854537e-03,2.063046277282992811e-03
-4.699639401855572015e-05,3.509142874144935073e-03,2.289210822494121712e-03
-3.132534067340146233e-04,3.500762410208053000e-03,1.729148175981310700e-03
-9.350386720481621439e-04,3.903623564782482229e-03,2.034714208448099894e-03
-1.004760523177697070e-03,4.181400696890609503e-03,2.447932391026209995e-03
-1.602166550109224261e-04,4.158833992460903191e-03,2.415092713602071291e-03
-4.291088468308444735e-04,3.679974690608153916e-03,2.219419329649802066e-03
6.979674316501109123e-05,2.847012958317906694e-03,2.488768409125543483e-03
1.570768410168794276e-04,3.737177750710869717e-03,2.651906213108085313e-03
1.501637787665455865e-04,3.908251305525370367e-03,2.429953807289051033e-03
6.629919670235893871e-04,3.946746701777031560e-03,2.513598373734644929e-03
-6.780304102116175614e-05,3.512725724912118142e-03,1.886068386094975511e-03
-9.861399610415220508e-05,4.077875242844817075e-03,1.660268954308596022e-03
4.370112347935151364e-05,3.775018739799330947e-03,2.941001378026627307e-03
1.322512607657063961e-04,3.688957931545470623e-03,1.727303628555065329e-03
3.355273008309519068e-04,3.712600453135223282e-03,2.153471607067784181e-03
5.674780278671663148e-04,3.391596394713465665e-03,2.552391762309606273e-03
2.646072064305817579e-04,3.762116988900580591e-03,2.053604034408277115e-03
1.451070394855292448e-04,3.388905134759546620e-03,2.146375306982268444e-03
5.203394452506026431e-04,3.885592938395027261e-03,2.292807499326763102e-03
-3.574190730211983420e-04,3.365178623739866100e-03,1.911205426144644334e-03
1.350281477674415752e-04,3.836501586717014356e-03,1.608226154653488510e-03
1.831238262177845792e-04,3.588831764801377836e-03,2.722037158412638977e-03
3.575682879696114838e-04,3.126979743285807252e-03,2.698008930369509735e-03
3.274329438445376878e-04,3.051145159189264100e-03,2.604977715580286072e-03
-3.319621246777806770e-04,4.070040566138695415e-03,2.179848226057733585e-03
5.587731676533443575e-05,3.298505732499254581e-03,1.602924075053963841e-03
-5.291479291776056198e-04,4.333353149649896499e-03,1.968491288072307058e-03
-2.882657562204426016e-05,3.466214222437334624e-03,2.192096561140539131e-03
3.034652858577706097e-04,3.852048336473466120e-03,2.275989837736332091e-03
1.878186430693914780e-06,3.586416879042497469e-03,1.995563663375801017e-03
-6.384879093175860733e-05,3.559433844488714502e-03,2.139418033994172630e-03
-3.368584591118507971e-04,3.689025716146143111e-03,1.963581919225632511e-03
-1.655812189537963770e-04,3.855687245457784310e-03,2.003049046538524572e-03
7.454787466127246276e-05,4.184981299477740294e-03,2.502049891551642088e-03
-2.685255123840895653e-04,3.420443960141736090e-03,2.340993669183430870e-03
5.595136313164412708e-04,3.981426538287865385e-03,1.935534420746872278e-03
5.210966250678156220e-04,3.182836802098462387e-03,2.617453324031820527e-03
1.006739817353408383e-04,3.920128007878199983e-03,2.374403728265936028e-03
8.169613419443868142e-05,4.245777075598832807e-03,2.366718489738101495e-03
7.081443779553447167e-04,3.382215871564606558e-03,2.246356920967413576e-03
1.422767459641825327e-04,3.700690948347496855e-03,2.438804828767460187e-03
6.143461965117196465e-04,3.881431147028894125e-03,2.911172852395665835e-03
-4.483304171633838728e-05,3.297080998532025704e-03,2.254887578361429619e-03
8.108829817456177091e-04,3.734039579273414153e-03,1.694066491559616727e-03
-4.946499233685114263e-04,3.794169404302148631e-03,2.467326954923506309e-03
