gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199998196521014293e+01,1.200003625498291768e+02,9.461726955800578764e+00,8.297987664788056272e-02,9.949742887661569668e+00,-1.629588155473738267e-02
3.199992367023873641e+01,1.200003341513570092e+02,2.955232501831669634e+00,-2.653883040605189633e-02,9.979118137129384891e+00,-2.015276597253885804e-02
3.200000668517825630e+01,1.200003266772917527e+02,-8.559198433076793400e-01,3.094483290008030740e-02,9.912535179359871051e+00,2.363508247160124587e-02
3.199997720045812244e+01,1.200004097955469007e+02,-5.327614976526710677e+00,7.150141297638214211e-02,1.007129965756900525e+01,-3.621236212357479417e-02
3.200003078459099015e+01,1.200003904176745237e+02,1.997219758038568660e+00,-1.277940998156806007e-01,1.000287416701165277e+01,4.471607076518578638e-02
3.199996690894523255e+01,1.200004117709277693e+02,-6.414375970627782308e+00,2.959326788391997143e-02,1.002332428299864731e+01,-2.805577195343952543e-02
3.200001356321895685e+01,1.200004204397943823e+02,-1.475145567235292532e+01,8.696541724169443155e-02,1.002607108506130018e+01,5.547852381172340905e-03
3.200004385567720533e+01,1.200004769775908784e+02,4.643776092225522234e+00,2.229943432000993514e-02,9.967395604577207635e+00,4.591255503897826926e-04
3.200003816565097026e+01,1.200004864941833915e+02,-1.204654296710645411e+01,-5.608402160428417604e-02,9.970481953740788938e+00,2.804194699918971523e-02
3.199987037333965390e+01,1.200004415870272680e+02,7.792305225328397533e+00,2.843612031455977629e-02,1.002925672256480816e+01,-9.492802636068935207e-03
3.200001025300413460e+01,1.200003643231890464e+02,6.205328387615799635e+00,-7.145459458296350708e-02,1.002534999357951762e+01,-6.688873408799132780e-02
3.200004373574739702e+01,1.200004519493752326e+02,-6.973419063989581446e+00,3.205919324830145203e-03,1.000299846084493183e+01,2.804528397770819637e-02
3.200005981101788421e+01,1.200005989146022074e+02,7.390743864945083175e+00,-6.628762420883287099e-02,9.979936385898071194e+00,5.704947427635503193e-02
3.199997783061756707e+01,1.200004536418388312e+02,3.987844307002309296e+00,-3.104579938327904631e-02,1.006039347462222366e+01,8.649231384791336574e-02
3.200005289410766807e+01,1.200005343429211564e+02,-5.245628172522787125e+00,2.460846697588173204e-02,1.002879643812019594e+01,3.415483745027553947e-02
3.199995872773358840e+01,1.200006113595751600e+02,-2.151982721657620612e+00,-6.936531396887589407e-02,1.006954720909621592e+01,-6.253594605553923491e-02
3.199995110592351111e+01,1.200005239759847058e+02,-5.624566066854901791e+00,1.382699512200771808e-02,9.917761117929336123e+00,2.780582942391087234e-03
3.200000249201499969e+01,1.200006129905200822e+02,-9.712848610708430641e+00,5.117205527385290664e-02,9.998463932551604927e+00,1.257308939532492398e-01
3.199998601759037342e+01,1.200005656127729310e+02,6.275150830490116682e+00,1.605645197299929595e-03,1.006274706110957595e+01,8.557052349796341953e-03
3.199996257731213944e+01,1.200005157797811677e+02,-1.460674956794664636e+00,3.402090831933035631e-02,1.002926612601186207e+01,2.963927760252601726e-02
3.200000196437398614e+01,1.200006115313912858e+02,3.913572983924177073e+00,-3.897359654416542030e-02,1.001170629309049431e+01,-2.986975625145404586e-02
3.199996481434022400e+01,1.200005919373264760e+02,-6.353985338256098458e+00,5.142979765786877266e-02,9.948041756543064551e+00,2.484261591997277002e-02
3.199995175939343639e+01,1.200005580430576941e+02,-1.214720854317779164e+01,-5.001949619664223384e-02,9.965609916074825492e+00,2.274769816518371415e-02
3.199997017413747002e+01,1.200006461420361461e+02,7.693301207299211519e+00,-7.334748889753522905e-02,1.002956067549607155e+01,1.116857507381059482e-02
3.199997341692280983e+01,1.200005940285171562e+02,-8.151789631994327934e+00,-5.654829629182206441e-02,9.967707997943984211e+00,-4.537900060755758157e-03
3.200001456588518778e+01,1.200006529697934070e+02,5.042599931775427535e+00,9.439997946464166734e-02,1.000192841861754189e+01,-6.303810231053395829e-02
3.199998811569247081e+01,1.200006516763953215e+02,1.182857722511713483e+01,4.910310738093146693e-02,1.006731857371256211e+01,2.684325192996024102e-03
3.199998174119653527e+01,1.200007119965420372e+02,5.163945025504844688e-01,-2.775613890009006116e-02,9.934378812043188844e+00,2.214427193799424487e-02
3.200002254622835096e+01,1.200006763757227333e+02,9.334330151360227035e+00,9.863206037862844167e-02,1.000280361286988651e+01,6.814539172506214881e-02
3.200003738873480330e+01,1.200006658308431469e+02,2.831538367116196664e+00,4.836517421548873485e-02,1.002975350646609520e+01,-2.671639157314983914e-02
3.199993942579773076e+01,1.200007391073159511e+02,9.066760880236135023e+00,-6.567758136260490320e-02,9.862673611643760552e+00,-4.268355214126250130e-02
3.200003970464982928e+01,1.200007435107918923e+02,-1.399410407672402634e+01,5.125773573395832686e-03,1.010189104347402456e+01,3.470632409909272403e-04
3.200002018494548395e+01,1.200006477020393874e+02,-1.297486005869290970e+00,2.805581912122399185e-02,9.988072218819228354e+00,1.552848950132654227e-02
3.200002677904581816e+01,1.200007142710980759e+02,3.751066685067113937e+00,2.968989141758679104e-02,1.001211838503510698e+01,2.374113589388953532e-02
3.199997877000735969e+01,1.200005932360520546e+02,3.663618452687887217e+00,2.598322039002138456e-02,1.002840977582010140e+01,-7.585506283039795961e-02
3.200007596562520007e+01,1.200008140723894030e+02,-1.387126508189510332e+01,6.414755134608763655e-03,9.967487505262784708e+00,3.067967931027708317e-02
3.199998374267377699e+01,1.200007899102653965e+02,5.905418090405348153e+00,-1.209946743041884730e-02,1.006500498563215018e+01,6.302295689011958024e-02
3.199991965324504051e+01,1.200007884084094059e+02,-6.260350481627556363e+00,6.205314475600456556e-03,9.992380386351072730e+00,1.062670180281013316e-02
3.199992580675325016e+01,1.200007428956323707e+02,-7.304926738710666001e+00,6.035428342915832162e-02,1.007099953581590235e+01,7.436816342051584929e-04
3.199998890491747261e+01,1.200007832789877114e+02,-4.300777970922732507e+00,-4.691711678156181009e-02,1.007236010441319429e+01,9.057995562782368559e-03
3.200009908154689953e+01,1.200007802358545916e+02,5.650105088217532989e-01,2.613189011204638743e-02,1.003598779079826109e+01,5.059146684381552600e-02
3.199998590311388824e+01,1.200009292592537093e+02,-1.734043030057797097e+01,2.665724225627515501e-02,9.950852207691378126e+00,5.838514020048460665e-03
3.199995306279437557e+01,1.200008686537174327e+02,-1.046354684709190508e+01,5.585722628250390509e-02,9.996929090244350391e+00,-2.999347708116784778e-02
3.199999120593528801e+01,1.200008469662259785e+02,4.318939270665112851e+00,-4.627620338029361097e-02,9.902525803799180792e+00,1.083022066198095629e-01
3.199992476947439357e+01,1.200008660728367431e+02,-1.508295688603993057e+01,3.375136375069819061e-02,1.008171948673168039e+01,-3.942477494950768352e-02
3.200006292376896511e+01,1.200008306088856358e+02,6.378109570879200163e+00,-1.574076816404109888e-02,9.920132933126044605e+00,-3.696069334490369174e-03
3.200002202840528298e+01,1.200009096504429493e+02,3.103589750842715045e+00,3.293553132479388329e-02,9.982683954239675472e+00,-8.571268131849128780e-02
3.199996862463581593e+01,1.200009139802636327e+02,-1.467864160438820065e+01,1.170523212361253458e-02,9.998444933955486391e+00,5.487368610879300029e-02
3.199989156874255869e+01,1.200008055038203878e+02,-3.529751706378446485e+00,-4.484625987630168342e-02,1.002690778936658944e+01,-3.983547392932963727e-02
3.199994257805201059e+01,1.200009058373620405e+02,5.327622545976907986e+00,4.901299843701453079e-02,9.977580744629753084e+00,2.630416965147706898e-02
3.199999610533755146e+01,1.200009918727064928e+02,3.636744337942102501e+00,1.266803232329210271e-01,1.002446504251179960e+01,4.548986691639092528e-02
3.200006593556572909e+01,1.200009757185999746e+02,-4.145966448896042600e+00,3.654690242412510920e-02,9.946506487532781549e+00,-5.321583359608026559e-02
3.200002609913943985e+01,1.200009860015157273e+02,7.322815781555086723e+00,5.441459331378883935e-02,1.000132795763527938e+01,1.639954792782358575e-02
3.200004788429466629e+01,1.200009859146215376e+02,3.251132986464970731e+00,-6.517675601552298803e-02,9.981877016693784910e+00,6.337868540609770118e-02
3.200008593375015664e+01,1.200009208071321183e+02,1.846750565024096957e+00,7.312856521117526432e-02,9.973090091281338943e+00,-9.744555428547975462e-02
3.200010604119497515e+01,1.200009277752553913e+02,1.698115925960431705e+00,7.970106542390633514e-03,1.003118265358872740e+01,2.900766233749681178e-02
3.199997698000496982e+01,1.200009524400247187e+02,2.141079683143577994e-01,4.809082656153552287e-04,9.991982569742255293e+00,-5.206375772038367850e-02
3.200002732019618890e+01,1.200008943549805025e+02,-6.158278130647331317e+00,-1.061567524633122428e-01,9.891476174627378271e+00,-3.804361641359121915e-02
3.199999192866504316e+01,1.200009364792160369e+02,-4.218679643111426181e+00,-4.939468864342222432e-02,1.008138092737197411e+01,4.351099854896449404e-02
3.200001507220114405e+01,1.200010316191252144e+02,-1.796551933333192608e+01,3.237884486567717268e-02,1.002650875598692792e+01,3.111794578815593737e-02
3.199999614728692521e+01,1.200010062206854542e+02,-6.573376519133563356e+00,-7.584234298518552353e-03,1.003936558788095468e+01,-1.327749454988334799e-02
3.200000365279183967e+01,1.200009671805885318e+02,2.054691606385178559e+00,-4.499083696329030796e-02,1.004114419387577684e+01,-2.020889857404036330e-02
3.199987420144335459e+01,1.200011520379535739e+02,-1.743929543478109023e+00,-2.456452413389127731e-02,1.003719441355500486e+01,7.698044225250492111e-03
3.200001494530896906e+01,1.200009766426601345e+02,-6.149084997248931650e+00,-1.762553147110649220e-03,1.005720775107363529e+01,2.769965697420057049e-02
3.199998488292380472e+01,1.200010743067978893e+02,7.144701294068835473e+00,-8.419106761404172856e-02,9.988738366722605733e+00,3.021565179789654360e-02
3.200002471473577970e+01,1.200010558341940339e+02,-3.379559138548375863e+00,5.332854078261480002e-02,9.946107806525287032e+00,3.833532734331573932e-02
3.199998915649794284e+01,1.200011465815768048e+02,6.031147998229685392e+00,-3.086894266092306965e-02,9.971333029185355912e+00,8.137090477588904136e-02
3.199998250918766374e+01,1.200010526835964413e+02,8.352089126505228833e-01,-1.591317003277213094e-01,1.011117577387531341e+01,3.405003693119570268e-02
3.200002761722729616e+01,1.200011055850687427e+02,-6.523321629021527457e+00,-4.455129145238221344e-01,9.900087095015004834e+00,2.324104746961697110e-02
3.199997020816371318e+01,1.200011689482026611e+02,-1.623148775427198842e+01,-4.900114747505671109e-01,9.941066911907272541e+00,-3.633332788255173862e-02
3.200000685440402748e+01,1.200010923235196145e+02,2.845148618093856552e+00,-6.754798129848742505e-01,1.007466395286410688e+01,-2.703021303488177193e-03
3.199997987848784931e+01,1.200011331015321758e+02,-1.011228976955558778e+01,-8.179354850769796625e-01,9.988610440799341461e+00,1.270328251780727773e-02
3.199992755843939563e+01,1.200010394306819137e+02,-6.613545615001537925e+00,-8.682810694657328021e-01,9.970004962656487280e+00,-1.074908981476694614e-01
3.199999700611661524e+01,1.200011897755875765e+02,2.528642312629663103e+00,-1.065893020704657301e+00,9.917122057129311941e+00,-2.133758175418504210e-02
3.200001074562353409e+01,1.200011163040415454e+02,-1.012192396266505767e+01,-1.262097201774038613e+00,1.000995120636914493e+01,3.182686417553779595e-02
3.200001656007114548e+01,1.200011849286090921e+02,4.884152175810421714e-01,-1.407788746397352853e+00,9.944060556458564903e+00,1.686796623496579148e-02
3.199995710789456282e+01,1.200011843653131791e+02,1.459209569080789670e+01,-1.619678881699287754e+00,9.804378750614739957e+00,-2.184041326903601865e-02
3.199997954952158352e+01,1.200011300378000385e+02,-3.122688349214599590e+00,-1.741882129442264615e+00,9.769475427028849523e+00,-6.861685160844009645e-02
3.200000109226948553e+01,1.200012959539999713e+02,-6.241341627448020013e+00,-1.871546436453884965e+00,9.861660405862801682e+00,-2.889640887223724613e-02
3.200000823767450697e+01,1.200012292683176156e+02,-4.933612708083203735e+00,-2.082518025107026105e+00,9.722885216690878352e+00,2.673062029984843088e-02
3.199996781918712685e+01,1.200010831003803133e+02,2.722475579909422017e+00,-2.220075477372091211e+00,9.755393870190799177e+00,-4.901446091845094305e-02
3.200005422089549256e+01,1.200012526839221607e+02,-9.371221198207095870e-01,-2.391325155029227822e+00,9.719835906329677755e+00,-1.578180573358215974e-02
3.199996661515777419e+01,1.200012174616275900e+02,5.550670258636529297e+00,-2.539099299786796493e+00,9.720258688587970042e+00,-8.864095416178789655e-02
3.199986711493836111e+01,1.200013152952498245e+02,4.426582545369559085e+00,-2.645628242768393257e+00,9.675579121160097884e+00,2.438078636503849400e-02
3.199991239024387113e+01,1.200013264905591086e+02,-2.884754343573431856e-01,-2.776941329310516959e+00,9.632498661701976772e+00,5.640281707772040742e-02
3.199995230120279999e+01,1.200013134796669192e+02,1.029685279511355489e+01,-2.960495726181199938e+00,9.546461899315763944e+00,-5.333833769450273959e-03
3.200002780918643452e+01,1.200013154118982612e+02,-8.058633083799993102e+00,-3.156434262382090239e+00,9.591080748915191023e+00,-4.861393145647255332e-02
3.199999956603010887e+01,1.200012688722015923e+02,3.875226689335074859e+00,-3.279107671781614108e+00,9.452164735044810584e+00,-6.385600108519084994e-02
3.199993016331704609e+01,1.200013436816756922e+02,8.502703530717898417e+00,-3.310583710901128462e+00,9.386961597135037749e+00,3.225418789136969694e-02
3.199992782941577829e+01,1.200012653204832560e+02,6.169250776306416384e+00,-3.549168354226349908e+00,9.315066771389846068e+00,5.560737826020337865e-02
3.199997835520576217e+01,1.200013238419883237e+02,5.726730717380751123e+00,-3.696517577662948195e+00,9.368423526712181371e+00,5.422194003209710594e-02
3.199999465976778978e+01,1.200013214893151030e+02,-7.384557115838191521e+00,-3.856915699920367757e+00,9.263202900655185701e+00,2.610274664609748066e-02
3.200002609957464728e+01,1.200013561177817820e+02,-1.056069903594598713e+01,-4.059307333753875646e+00,9.206918044351068531e+00,-2.454267310157058624e-02
3.200003342362055037e+01,1.200013007276320707e+02,-5.174848034384188500e-01,-4.103111494770491419e+00,9.149907806880229089e+00,1.316596704206228485e-02
3.199996660587586916e+01,1.200013292197909891e+02,-2.338324045026549114e-01,-4.267881004177477067e+00,8.972535993389882947e+00,1.399462146016976216e-02
3.199993165183188637e+01,1.200013364441817743e+02,-5.835523547957632839e-02,-4.391358715655103495e+00,8.976059939890387085e+00,2.715371741928223823e-02
3.199996190905163473e+01,1.200013465165242366e+02,-3.144683182478053229e+00,-4.472878270046788174e+00,8.914592227111503675e+00,3.951150343287689048e-02
3.199998453977552870e+01,1.200013888608336998e+02,4.427046473779475022e+00,-4.744211673634807447e+00,8.953935131437676276e+00,3.594176291984546578e-02
3.199993331597468327e+01,1.200014176723764621e+02,5.895445807123519621e+00,-4.787948314211249112e+00,8.705498633685476051e+00,-5.079200314344774203e-02
3.199991191694531167e+01,1.200013834842890503e+02,-5.253268653766342666e+00,-4.888538332304507072e+00,8.739942943381205254e+00,-2.250311340442228206e-02
3.199988947869672273e+01,1.200014118751459335e+02,-9.140656638901386799e+00,-5.154006266715309259e+00,8.583128209074656567e+00,-9.830144432539244734e-03
3.199982393128719949e+01,1.200014525108366001e+02,1.385676686484365483e+00,-5.246027230576475020e+00,8.581920025724128820e+00,7.069844517208517809e-02
3.199996596572525576e+01,1.200014482926551409e+02,-1.327156502355971490e+00,-5.328021267874286870e+00,8.431448280288634578e+00,-3.027252745090286065e-02
3.199983856442235108e+01,1.200014452899782782e+02,-1.036023628572931798e+01,-5.531402420477545157e+00,8.383413094228899354e+00,1.085890780093514973e-01
3.199995026359444239e+01,1.200014343490789628e+02,-6.518800894867829432e-02,-5.583909875063429951e+00,8.291736749148384433e+00,-4.335646316916896836e-02
3.199993490569601207e+01,1.200014999798147670e+02,-8.282443838944319126e+00,-5.772522379047330787e+00,8.173742514955954164e+00,-2.099205310293557336e-02
3.199990911954239792e+01,1.200015062206441030e+02,9.520813132071001550e-02,-5.905648216234402170e+00,8.090883884238229129e+00,-1.007003143416557861e-02
3.199987234853107054e+01,1.200014721058729918e+02,-7.788852201419524057e+00,-5.931162869214926303e+00,8.020430421182267011e+00,-2.033727256087192528e-02
3.199984958090099951e+01,1.200014392691242904e+02,-2.566073688189479007e+00,-6.199305011034743629e+00,7.934723254394790537e+00,-3.806076804596736363e-02
3.199989225014412497e+01,1.200015594604165585e+02,-5.892818702515013385e+00,-6.221288712044818148e+00,7.758584555999206600e+00,4.076322830709072642e-02
3.199993477323418389e+01,1.200013906640235035e+02,-7.154157002413187527e+00,-6.380977237140374569e+00,7.709119962341016929e+00,-5.577682051539369600e-03
3.199990126639236010e+01,1.200015082841654390e+02,3.937802432527396146e+00,-6.482070005280951008e+00,7.613662668742619211e+00,-6.947082882152362526e-02
3.199991924211458993e+01,1.200015365170260679e+02,-2.531181800115124947e+00,-6.632098687143276550e+00,7.472578740309121947e+00,1.110012806044258227e-02
3.199984136065590690e+01,1.200015275768995906e+02,-6.362937617006934055e+00,-6.769231774286255998e+00,7.292394283933365529e+00,-6.953600758050926256e-02
3.199986299936498924e+01,1.200014988132075899e+02,-7.635604837964319103e+00,-6.838960823088704011e+00,7.293216564959513981e+00,1.924146586821672347e-02
3.199985798794896041e+01,1.200015031562553958e+02,-1.704218501671506569e+00,-7.011230321913147989e+00,7.242899882856677962e+00,-2.102624284703742338e-02
3.199984459589663999e+01,1.200015519344555059e+02,-5.539027710188774156e-01,-7.109768442693698454e+00,7.071561282013885119e+00,5.399472466113476588e-02
3.199986020580675472e+01,1.200016168620075661e+02,1.142888848890895925e+00,-7.209891441490729136e+00,6.841218751198565151e+00,-3.755320931205471252e-02
3.199984855936921946e+01,1.200015203536503776e+02,4.083561149475423591e+00,-7.328847642457049005e+00,6.917747444879402963e+00,9.493650523919826972e-03
3.199984619985818313e+01,1.200015818314084015e+02,3.072499660634072163e-02,-7.285125778281512865e+00,6.767200113518168969e+00,1.976722729516346144e-02
3.199986327091815141e+01,1.200016722731922556e+02,8.737514330352825098e+00,-7.525245577082467996e+00,6.583998731587318076e+00,-7.772810820811471531e-03
3.199986185240562975e+01,1.200015943884169616e+02,-3.464070499495912614e+00,-7.597355755923292264e+00,6.492281418559806561e+00,-9.740065605469006016e-02
