ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.150819447204359136e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.600000000000001199e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150819595565300091e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.700000000000001288e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150819752945142938e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.800000000000001377e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150819919343888387e+01,1.204019890000000004e+02,0.000000000000000000e+00,1.900000000000001465e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150820094761535728e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.000000000000001332e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150820279198085316e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.099999999999999201e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150820472653536797e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.199999999999997069e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150820675127890880e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.299999999999994937e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150820886621146499e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.399999999999992806e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150821107133304722e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.499999999999990674e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150821336664364480e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.599999999999988542e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150821575214326487e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.699999999999986411e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150821822783190385e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.799999999999984279e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150822079370956885e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.899999999999982148e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150822344977625278e+01,1.204019890000000004e+02,0.000000000000000000e+00,2.999999999999980016e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150822619603195562e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.099999999999977884e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150822903247667739e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.199999999999975753e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150823195911041807e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.299999999999973621e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150823497593318834e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.399999999999971489e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150823808294497042e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.499999999999969358e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150824128014577141e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.599999999999967226e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150824456753559133e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.699999999999965095e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150824794511443372e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.799999999999962963e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150825141288229858e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.899999999999960831e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150825497083917526e+01,1.204019890000000004e+02,0.000000000000000000e+00,3.999999999999958700e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150825861898507441e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.099999999999957012e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150826235731999247e+01,1.204019890000000004e+02,0.000000000000000000e+00,4.199999999999954881e+00,0.000000000000000000e+00,0.000000000000000000e+00
